X,Y,OBJECTID,fcode,descripci,Nam,DIRECCION,TIPO,icon_url
-79.2402138288959,-0.013631446021732,"17",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Luis Alfonso Verdesoto Salgado,RCTO. EL RECREO-EL RECREO QUININDE KM. 2,ESCUELA,./0.png
-79.2220341329594,-0.016702616565471,"18",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Rafael Alberto Calvache Molina,RCTO. MIRADOR DE LA SELVA VIA QUININDE KM. 24,ESCUELA,./0.png
-79.2670280097317,-0.005887089194336,"19",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Monte de Los Olivos,RCTO. RÍO ZABALO-QUININDE KM. 24+15,ESCUELA,./0.png
-79.3218649451521,-0.04089511215429,"20",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Nuevo Rocafuerte,KM 7 A FLOR DEL VALLE. RCTO. 35,ESCUELA,./0.png
-79.295779419339,-0.01881312526447,"21",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Francisco Huerta Rendon,,ESCUELA,./0.png
-79.2222277857361,-0.054480611390475,"22",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Juan Benigno Vela,KM. 10 VÍA VALLE HERMOSO LOS BANCOS,ESCUELA/JARDIN,./0.png
-79.2083519289039,-0.006254886301071,"23",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Luis Antonío Aguilar,9 DE OCUTUBRE,ESCUELA/JARDIN,./0.png
-79.2839493335879,0.010457145663889,"24",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Dr. Gonzálo Córdova (Cerrada),9.7 KM A LA VIA CALACALÍ KM 194  LA INDEPENDENCIA. RCTO. UNIÓN GAN,ESCUELA,./0.png
-79.1072344306168,-0.08842917812101,"25",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Corsino Durán,STA. ROSA DEL MULAUTE VIA QUITO,ESCUELA/JARDIN,./0.png
-78.8077218472237,-0.312869649268332,"26",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Santa Maria de Chitoa,RCTO. CHITOA VIA STO. DOMINGO KM. 4,ESCUELA,./0.png
-78.8537298727992,-0.347939923061688,"27",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Sixto Maria Durán,RCTO. LA ESPERIE VIA STO. DOMINGO KM. 58,ESCUELA,./0.png
-79.1891418801844,-0.599128192211132,"28",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",José Vargas Vallejo,RCTO. SAN FCO. DE ASIS,ESCUELA,./0.png
-79.1222527079386,-0.53115177281197,"29",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Dociteo Romero Pereira,RCTO. BLANCO VIA QUEVEDO KM. 7+60,ESCUELA,./0.png
-79.258079032674,-0.619398188779564,"30",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Corina Parral de Velasco Ibarra,COOP. AGRICOLA 14 DE ENERO,ESCUELA,./0.png
-79.2897820539045,-0.642514080259017,"31",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Juan Francisco Rubío,RCTO. MONTE CARMELO VIA QUEVEDO KM. 45+2,ESCUELA,./0.png
-79.3476659661595,-0.687256399239667,"32",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Jesus Omar Bermello Correa,RCTO. LA ANGOSTURA VIA QUEVEDO,ESCUELA,./0.png
-79.2122121218211,-0.618876408228021,"33",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Unión Lojana,RCTO.UNIÓN LOJA0NA VIA QUEVEDO KM. 45+25,ESCUELA/JARDIN,./0.png
-79.3147560184987,-0.613583671323716,"34",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Luis Cadena,COOP. FLOR DE LOS RÍOS VÍA QUEVEDO KM. 4,ESCUELA,./0.png
-79.3498087464163,-0.668116941338112,"35",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Republica de Noruega,RCTO. POZA HONDA,ESCUELA/JARDIN,./0.png
-79.4612692509886,-0.551888121506573,"36",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Jorge Reyes,RCTO. COOP. 12 DE OCTUBRE KM 52+15,ESCUELA,./0.png
-79.1585928757184,-0.255806383503982,"37",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Dr. Benjamin Carríon,COOP. ABDÓN CALDERON,ESCUELA/JARDIN,./0.png
-79.1531665437699,-0.263473706681099,"38",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Manuel Elicío Flor,BARRÍO LIBERTADORES,ESCUELA,./0.png
-79.1838155161635,-0.251912583883377,"39",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Republica de Corea,AV. ABRAHAM CALAZACÓN # 436 Y SANTA ROSA,ESCUELA,./0.png
-79.1838155161635,-0.251912583883377,"40",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Luis Antonío Vargas Yépez,COOP. LAS PALMAS,ESCUELA,./0.png
-79.183861243074,-0.245953426744242,"41",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Maria Eugenia Duran Villalobos,"AV. ABRAHAM CALAZACON, LOS ROSALES III ETAPA",ESCUELA/JARDIN,./0.png
-79.1855840821532,-0.258658720059465,"42",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",OEA,AV. JUAN MONTALVO # 350,ESCUELA,./0.png
-79.1855840821532,-0.258658720059465,"43",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Cesar Davila Andrade,,ESCUELA,./0.png
-79.1855840821532,-0.258658720059465,"44",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Alejandro Montesdeoca,,ESCUELA,./0.png
-79.18922027678,-0.269989825799283,"45",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Ciudad de La habana,COOPERATIVA VENCEREMOS,ESCUELA/JARDIN,./0.png
-79.1730357953163,-0.259036699855856,"46",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Une,COOP. LIBERACÍÓN POPULAR CALLE LA NI¥A Y MANUELITA SAENZ,ESCUELA,./0.png
-79.1730357953163,-0.259036699855856,"47",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Juan León Mera,COOP. LIBERACÍÓN POLPULAR. CALLE MANUELITA SAENZ Y LA NI¥A,ESCUELA/JARDIN,./0.png
-79.1712908810717,-0.245621798935129,"48",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",30 de Julío,COOP. 30 DE JULÍO,ESCUELA,./0.png
-79.1709513162326,-0.245932486368653,"49",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Ing. Cadmo Zambrano,COOP. 30 DE JULÍO,ESCUELA/JARDIN,./0.png
-79.1741602968644,-0.246720722337149,"50",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Instituto Fe y Alegria,SANTO DOMINGO,ESCUELA/JARDIN,./0.png
-79.1741602968644,-0.246720722337149,"51",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",s/n,,ESCUELA,./0.png
-79.1441392749778,-0.265081926959413,"52",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Lucío Tarquino,SANTO DOMINGO,ESCUELA/JARDIN,./0.png
